Hour,Real,Predicted,Residuals
6647.0,115.75000398606062,117.43356668204069,1.683562695980072
6648.0,110.07000180333853,113.4385825842619,3.3685807809233665
6649.0,111.4299992993474,110.72777900844812,-0.7022202908992767
6650.0,109.49999725073576,110.04917704313993,0.5491797924041748
6651.0,110.63000421971083,111.26032438874245,0.63032016903162
6652.0,108.88000155240297,115.9971173107624,7.117115758359432
6653.0,112.56999863684177,120.85803830623627,8.288039669394493
6654.0,130.2999963015318,135.37378502637148,5.073788724839687
6655.0,133.12999525666237,138.4711848422885,5.341189585626125
6656.0,185.99999803304672,144.96015863120556,-41.039839401841164
6657.0,175.8600003272295,178.01699421554804,2.1569938883185387
6658.0,176.6400009021163,176.3704511448741,-0.26954975724220276
6659.0,190.74999690055847,180.8952163606882,-9.854780539870262
6660.0,195.74999056756496,175.52926562726498,-20.220724940299988
6661.0,191.8599995970726,161.9695141017437,-29.890485495328903
6662.0,182.38999850302935,158.62610471248627,-23.76389379054308
6663.0,196.7500088363886,161.9045392870903,-34.845469549298286
6664.0,193.49999830126762,182.7395946532488,-10.760403648018837
6665.0,187.88000893592834,171.1695063561201,-16.710502579808235
6666.0,188.24999029934406,153.72269417345524,-34.527296125888824
6667.0,142.9500027447939,162.50517538189888,19.555172637104988
6668.0,139.93000227212906,134.1621883660555,-5.76781390607357
6669.0,122.38000398874283,125.9672252163291,3.5872212275862694
6670.0,122.00000095367432,123.74216014891863,1.7421591952443123
6671.0,118.13000448793173,118.72847215086222,0.5984676629304886
6672.0,114.50000068545341,110.42776376008987,-4.072236925363541
6673.0,114.62999915331602,107.24944822490215,-7.380550928413868
6674.0,110.45000483840704,105.8719372227788,-4.5780676156282425
6675.0,109.67999663203955,106.08261698484421,-3.597379647195339
6676.0,111.50000448524952,105.51352082937956,-5.986483655869961
6677.0,108.38000218570232,114.74518977105618,6.365187585353851
6678.0,127.87999702244997,127.78888381272554,-0.09111320972442627
